Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56.630000,35.180000,0.000000,Top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,45.800000,32.400000,0.000000,Top
C4,68nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.712500,25.260000,0.000000,Top
C5,4.7nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,23.462500,20.750000,0.000000,Top
C8,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,42.600000,27.200000,-90.000000,Top
C9,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,43.862000,14.550000,0.000000,Top
C10,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.400000,34.400000,-90.000000,Top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,16.500000,45.437500,90.000000,Top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,52.400000,34.400000,-90.000000,Top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,40.500000,45.500000,-90.000000,Top
D1,APA102,LED_RGB_5050-6,21.900000,44.200000,90.000000,Top
D2,APA102,LED_RGB_5050-6,35.900000,44.200000,90.000000,Top
D3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,30.345000,44.995000,0.000000,Top
D4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,17.225000,33.000000,180.000000,Top
FB1,FerriteBead,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,45.475000,35.375376,180.000000,Top
J2,PLR237/T10BK,PLR237T10BK,14.060000,12.960000,0.000000,Top
J3,RCJ-042,CUI_RCJ-042,50.800000,1.550000,-90.000000,Top
J4,RCJ-042,CUI_RCJ-042,38.662000,1.550000,-90.000000,Top
R1,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17.250000,35.500000,0.000000,Top
R2,150,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,30.300000,42.000000,0.000000,Top
R4,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.400000,27.800000,0.000000,Top
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.400000,23.800000,0.000000,Top
R6,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,57.400000,21.800000,0.000000,Top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,19.772863,21.470000,-90.000000,Top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,39.100000,27.000000,-90.000000,Top
R9,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,11.000000,47.000000,90.000000,Top
R10,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,13.400000,47.000000,90.000000,Top
R12,680,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,19.938500,25.650000,-90.000000,Top
R14,33,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,59.250000,31.750000,90.000000,Top
R20,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,51.600000,14.800000,0.000000,Top
R21,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.262000,14.750000,0.000000,Top
TP9,5016,KEYSTONE_5016,45.250000,44.750000,-90.000000,Top
U2,74LVC157,SOIC-16_3.9x9.9mm_P1.27mm,33.575000,24.175000,0.000000,Top
U3,PCM1862DBT,DBT0030A_N,48.250000,26.250000,0.000000,Top
U5,DIR9001PW,PW28-M,12.778200,26.475000,0.000000,Top
Y3,XO32,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,56.525000,31.775000,0.000000,Top
