"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D3,D4";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
2;"R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"150";;;
3;"TP14";"TestPoint_Pad_D1.0mm";1;"TP_5V";;;
4;"U3";"DBT0030A_N";1;"PCM1862DBT";;;
5;"TP5";"TestPoint_Pad_D1.0mm";1;"TP_Power_Rail_3v3";;;
6;"C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"68nF";;;
7;"FB1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"FerriteBead";;;
8;"C3,C12,C2,C11,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"100nF";;;
9;"TP8";"TestPoint_Pad_D1.0mm";1;"TP_TOSLINK_DOUT";;;
10;"J3,J4";"CUI_RCJ-042";2;"RCJ-042";;;
11;"R3,R6,R5,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
12;"TP13";"TestPoint_Pad_D1.0mm";1;"TP_OPT_LOCK";;;
13;"R21,R8,R20,R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"100k";;;
14;"TP6";"TestPoint_Pad_D1.0mm";1;"TP_TOSLINK_LRCLK";;;
15;"TP9";"KEYSTONE_5016";1;"5016";;;
16;"C9,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
17;"TP3";"TestPoint_Pad_D1.0mm";1;"TP_OUT_I2S_BCLK";;;
18;"Y3";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"XO32";;;
19;"TP7";"TestPoint_Pad_D1.0mm";1;"TP_TOSLINK_BCLK";;;
20;"R9,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"4.7k";;;
21;"TP4";"TestPoint_Pad_D1.0mm";1;"TP_TOSLINK_ERROR";;;
22;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"680";;;
23;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uF";;;
24;"TP1";"TestPoint_Pad_D1.0mm";1;"TP_OUT_I2S_LRCLK";;;
25;"D1,D2";"LED_RGB_5050-6";2;"APA102";;;
26;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
27;"TP11";"TestPoint_Pad_D1.0mm";1;"TP_ADC_LRCLK";;;
28;"TP12";"TestPoint_Pad_D1.0mm";1;"TP_ADC_SDOUT";;;
29;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7nF";;;
30;"J2";"PLR237T10BK";1;"PLR237/T10BK";;;
31;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"74LVC157";;;
32;"TP2";"TestPoint_Pad_D1.0mm";1;"TP_OUT_I2S_DOUT";;;
33;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"33";;;
34;"TP10";"TestPoint_Pad_D1.0mm";1;"TP_ADC_BCLK";;;
35;"TP15";"TestPoint_Pad_D1.0mm";1;"TP_RXIN";;;
36;"U5";"PW28-M";1;"DIR9001PW";;;
37;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"GPIO";;;
